date,description,minimumAge,name,price,residentAdvisorLink,venue
,,,Groovy Tunes,,https://www.residentadvisor.net/events/1104724,Solar
,,,Japanese Food & Japanese 70's Music Pop Up JP Vinyl Shop,,https://www.residentadvisor.net/events/1105912,arkaoda Berlin
,,,Bellmeria,,https://www.residentadvisor.net/events/1110811,Crack Bellmer
,,,The Unknown presents Aline & Falscher Bart,,https://www.residentadvisor.net/events/1082211,Süss War Gestern
,,,"Mittendrin mit Enrica Hz, Cmyk & Terry Benedikt",,https://www.residentadvisor.net/events/1098141,Minimal Bar
,,,Techno Mittwoch Girls Rave,,https://www.residentadvisor.net/events/1100815,AVA Club
,,,Mittwoch: Shades,,https://www.residentadvisor.net/events/1098250,Watergate
,,,Slowmotor with Maugli & Lotte Ahoi,,https://www.residentadvisor.net/events/1108143,Crack Bellmer
,,,Gigi Masin • Support: Cass.,,https://www.residentadvisor.net/events/1084889,Festsaal Kreuzberg
,,,Trade 2018,,https://www.residentadvisor.net/events/1102634,OHM
,,,Rituals Hosted by Qu Er,,https://www.residentadvisor.net/events/1095201,Suicide Circus
,,,Kergann w./ Erwan & Boyd Goosman,,https://www.residentadvisor.net/events/1107640,Farbfernseher
,,,Tresor New Faces,,https://www.residentadvisor.net/events/1097586,Tresor
,,,Halbzeit mit O.R.,,https://www.residentadvisor.net/events/1105342,Promenaden Eck
,,,Melliflow,,https://www.residentadvisor.net/events/1110055,Club der Visionaere
,,,The Urban Base Birthday Jam,,https://www.residentadvisor.net/events/1102490,Privatclub
,,,Concrete BLN,,https://www.residentadvisor.net/events/1104584,Cassiopeia
,,,Black and Funky,,https://www.residentadvisor.net/events/1104725,Solar
,,,Experiminimal,,https://www.residentadvisor.net/events/1109444,Maze
,,,Symbiotikka ,,https://www.residentadvisor.net/events/1103763,KitKatClub
,,,Dirty Hands x Maraton,,https://www.residentadvisor.net/events/1095187,://about blank
,,,Bordel Des Arts - Hunted By Reality,,https://www.residentadvisor.net/events/1071285,Salon Zur Wilden Renate
,,,Background. Codes #8ca79e with SLV,,https://www.residentadvisor.net/events/1104752,Griessmuehle
,,,Tech Talk with Mike Huckaby,,https://www.residentadvisor.net/events/1088957,Paloma
,,,Thursdate: Impress,,https://www.residentadvisor.net/events/1101208,Watergate
,,,The Unknown presents Vantom,,https://www.residentadvisor.net/events/1085964,Zu Mir Oder Zu Dir
,,,Electronic.Thursday mit Diana May,,https://www.residentadvisor.net/events/1098143,Minimal Bar
,,,Digitalism,,https://www.residentadvisor.net/events/1080191,Funkhaus Berlin
,,,Säule Xlll,,https://www.residentadvisor.net/events/1102151,Berghain | Panorama Bar | Säule
,,,Step higher (Drum & Bass / Psytrance),,https://www.residentadvisor.net/events/1108368,Void Club
,,,Donnerdogge,,https://www.residentadvisor.net/events/1103545,Golden Gate
,,,Hot Concept with Annabel Fraser (NTS Radio/The White Hotel),,https://www.residentadvisor.net/events/1099463,Paloma
,,,Monday Morning - Label Night,,https://www.residentadvisor.net/events/1108144,Crack Bellmer
,,,Awkward,,https://www.residentadvisor.net/events/1109551,Zur Klappe
,,,Thank you Thursday,,https://www.residentadvisor.net/events/1095955,Süss War Gestern
,,,DJ Robert Owens,,https://www.residentadvisor.net/events/1102958,Repeat
,,,FLORA (Varg & AnnaMelina) & Oli XL live in 4DSOUND,,https://www.residentadvisor.net/events/1095331,MONOM
,,,Dust - Katarzyna Krakowiak - Installation,,https://www.residentadvisor.net/events/1098643,Halle am Berghain
,,,Rummy Sharma Meets die Jungen Wilden,,https://www.residentadvisor.net/events/1103253,AVA Club
,,,Der Abend mit Tomash Ghz,,https://www.residentadvisor.net/events/1105350,Promenaden Eck
,,,"Laserdisc - Vvicky, Uri Keller, Chris Video",,https://www.residentadvisor.net/events/1107796,Farbfernseher
,,,Pelada + Dis Fig,,https://www.residentadvisor.net/events/1108109,Acud Macht NEU
,,,Psychedelic Kitchen at #Lsb02 / Maze - Dark Lounge Adventures,,https://www.residentadvisor.net/events/1093238,Liquid Sky Berlin - #LSB02
,,,South Grove Pre-Release Party,,https://www.residentadvisor.net/events/1106403,Wild At Heart
,,,Carnival Blackout,,https://www.residentadvisor.net/events/1104052,Gretchen
,,,The Generators,,https://www.residentadvisor.net/events/1090463,Cassiopeia
,,,Loosen up,,https://www.residentadvisor.net/events/1108568,Club der Visionaere
,,,SPT & a Synthpop Troubadour// Per Gouras// DJ Explosive Skillz,,https://www.residentadvisor.net/events/1108690,Monster Ronson's Ichiban Karaoke
,,,Easy Lounge Tunes,,https://www.residentadvisor.net/events/1104726,Solar
,,,Stellar Attractions,,https://www.residentadvisor.net/events/1062497,
,,,Schnabelhaft with Nico Stojan,,https://www.residentadvisor.net/events/1084779,Burg Schnabel
,,,"AIR Night with Mood2swing, Mike Huckaby, Patrice Scott, Session Victim, Barem.",,https://www.residentadvisor.net/events/1065163,[ipsə]
,,,"Circus Birgit with Sascha Dive, Jiggler & Marvin Hey",,https://www.residentadvisor.net/events/1084714,Birgit
,,,Buttons Garden Opening 2018,,https://www.residentadvisor.net/events/1024879,://about blank
,,,Sieben Jahre Griessmuehle,,https://www.residentadvisor.net/events/1101959,Griessmuehle
,,,Art Bei Ton: Experience 1,,https://www.residentadvisor.net/events/1092933,Urban Spree
,,,Version,,https://www.residentadvisor.net/events/1090119,OHM
,,,Tresor.Klubnacht,,https://www.residentadvisor.net/events/1098688,Tresor
,,,Boschain Locals Only,,https://www.residentadvisor.net/events/1105047,Humboldthain Club
,,,"Henriette House /w. Locked Groove, Quarion, Eva Geist & More",,https://www.residentadvisor.net/events/1099480,Salon Zur Wilden Renate
,,,"Dystopian with Surgeon, Distant Echoes, Irakli, Nadine Talakovics",,https://www.residentadvisor.net/events/1105779,Arena Club
,,,Vakant - Avatism / Prequel Tapes / Kenneth Scott / Foehn & Jerome,,https://www.residentadvisor.net/events/1097615,Kater Blau
,,,Friends.Zone mit Juliet! & Freunde,,https://www.residentadvisor.net/events/1098145,Minimal Bar
,,,"Which way to the Stars?? Jarle Brathen,Danny Russell ,Boogiemann",,https://www.residentadvisor.net/events/1099341,Crack Bellmer
,,,Drehmoment X Sinistra,,https://www.residentadvisor.net/events/1096621,Mensch Meier
,,,Frustrated Funk,,https://www.residentadvisor.net/events/1098183,Berghain | Panorama Bar | Säule
,,,"Temple of Baal with Eagles & Butterflies, Gabriel Ananda",,https://www.residentadvisor.net/events/1101886,Ritter Butzke
,,,Superb with Ontal Live + Crazy Language Label Showcase,,https://www.residentadvisor.net/events/1090942,Suicide Circus
,,,Majestic Casual · Berlin · World Tour,,https://www.residentadvisor.net/events/1100358,Prince Charles
,,,Interzone Gayparty,,https://www.residentadvisor.net/events/1108402,Void Club
,,,TR - Tape Release #1 - the Thirteenth,,https://www.residentadvisor.net/events/1106039,Modular+
,,,"Hainmat with Oscar OZZ, Ute Ungewiss, Mendex and More",,https://www.residentadvisor.net/events/1103243,AVA Club
,,,5 Years Worst Case,,https://www.residentadvisor.net/events/1101216,Watergate
,,,://About What w./ Lokier / Brenecki & Hang Aoki,,https://www.residentadvisor.net/events/1107628,Farbfernseher
,,,3am Recordings 15th Birthday - Berlin Edition,,https://www.residentadvisor.net/events/1102938,Repeat
,,,Karl Wieder Friedlich,,https://www.residentadvisor.net/events/1103788,Kultstätte Keller
,,,An Evening with Wex,,https://www.residentadvisor.net/events/1107916,It's a Bar
,,,Polygon Signature Night - Saytek Live,,https://www.residentadvisor.net/events/1109682,Polygon Club
,,,Ceremony #02,,https://www.residentadvisor.net/events/1108627,Sounds
,,,E▰session VII,,https://www.residentadvisor.net/events/1094154,HRD Bar
,,,We Love Dance Moves with Caren Callas & Sugar Jim Jr and Mondee,,https://www.residentadvisor.net/events/1105360,Promenaden Eck
,,,BBC Instore: The Checkup & Deeleegenz Release Party,,https://www.residentadvisor.net/events/1092518,OYE Kreuzkoelln
,,,Süsse Pfingsten,,https://www.residentadvisor.net/events/1110770,Süss War Gestern
,,,1411 Pres. Arif & Menqui,,https://www.residentadvisor.net/events/1101078,Ziegrastr. 11
,,,Otto Live: Record Release / Kris Baha / LOW BAT / Lars Noll,,https://www.residentadvisor.net/events/1110636,Gr_und
,,,Dirty Reggae & Dub Allnighter,,https://www.residentadvisor.net/events/1108280,Schillingbar
,,,Spring Rave,,https://www.residentadvisor.net/events/1098451,Der Weiße Hase
,,,Electro Swing Revolution,,https://www.residentadvisor.net/events/1098707,Frannz Club
,,,Highly Addictive,,https://www.residentadvisor.net/events/1103548,Golden Gate
,,,Supersoul +Aftershowparty,,https://www.residentadvisor.net/events/1090465,Cassiopeia
,,,3 Jahre Firletanz with Balkonkind,,https://www.residentadvisor.net/events/1091920,Beate Uwe
,,,Goa Liebe,,https://www.residentadvisor.net/events/1097410,Insomnia
,,,Ladies Night,,https://www.residentadvisor.net/events/1099378,Soda Club
,,,Half Moon Party,,https://www.residentadvisor.net/events/1099402,Moon Club Berlin
,,,Cosmic Vibes,,https://www.residentadvisor.net/events/1104728,Solar
,,,Pointed,,https://www.residentadvisor.net/events/1109042,Club der Visionaere
,,,Black Paper - The Afrobeats Berlin Carnival Launch Party,,https://www.residentadvisor.net/events/1104062,Gretchen
,,,Sieistguterjunge Gets WET,,https://www.residentadvisor.net/events/1110566,Acud Macht NEU
,,,Kreyol / Tom Wieland & Dubben & Coco Maria & Eli Pavel & Mad Lubi,,https://www.residentadvisor.net/events/1110648,arkaoda Berlin
